Label,pattern_size,pattern_energy
DSC_0402_RAB249d,1,279.903083706
DSC_0402_RAB249d,6,979.329958879
DSC_0402_RAB249d,11,899.632063286
DSC_0402_RAB249d,16,828.989431350
DSC_0402_RAB249d,21,852.417142240
DSC_0402_RAB249d,26,912.004002890
DSC_0402_RAB249d,31,974.878525445
DSC_0402_RAB249d,36,1030.573623345
DSC_0402_RAB249d,41,1073.533298152
DSC_0402_RAB249d,46,1099.331545533
DSC_0402_RAB249d,51,1105.378203899
DSC_0402_RAB249d,56,1091.731466169
DSC_0402_RAB249d,61,1060.942613727
DSC_0402_RAB249d,66,1017.200992617
DSC_0402_RAB249d,71,965.321679353
DSC_0402_RAB249d,76,909.918119158
DSC_0402_RAB249d,81,854.868871014
DSC_0402_RAB249d,86,803.059690378
DSC_0402_RAB249d,91,756.336372122
DSC_0402_RAB249d,96,715.602865032
DSC_0402_RAB249d,101,681.005936058
DSC_0402_RAB249d,106,652.158193821
DSC_0402_RAB249d,111,628.357387505
DSC_0402_RAB249d,116,608.771554663
DSC_0486_RAB366d,1,335.910863360
DSC_0486_RAB366d,6,920.124442976
DSC_0486_RAB366d,11,811.843282422
DSC_0486_RAB366d,16,772.222752234
DSC_0486_RAB366d,21,825.387405906
DSC_0486_RAB366d,26,888.540625152
DSC_0486_RAB366d,31,939.653446084
DSC_0486_RAB366d,36,979.789971650
DSC_0486_RAB366d,41,1008.265868700
DSC_0486_RAB366d,46,1020.736649101
DSC_0486_RAB366d,51,1013.838579200
DSC_0486_RAB366d,56,987.841337312
DSC_0486_RAB366d,61,946.266064262
DSC_0486_RAB366d,66,894.310162660
DSC_0486_RAB366d,71,837.406878512
DSC_0486_RAB366d,76,780.303034243
DSC_0486_RAB366d,81,726.603047965
DSC_0486_RAB366d,86,678.639862559
DSC_0486_RAB366d,91,637.556561985
DSC_0486_RAB366d,96,603.520752665
DSC_0486_RAB366d,101,576.007412423
DSC_0486_RAB366d,106,554.093144681
DSC_0486_RAB366d,111,536.709995738
DSC_0486_RAB366d,116,522.827534135
DSC_0502_RAB377d,1,345.512274200
DSC_0502_RAB377d,6,827.603303132
DSC_0502_RAB377d,11,755.988236200
DSC_0502_RAB377d,16,819.230224449
DSC_0502_RAB377d,21,948.042889247
DSC_0502_RAB377d,26,1068.983576842
DSC_0502_RAB377d,31,1169.388078026
DSC_0502_RAB377d,36,1246.285650071
DSC_0502_RAB377d,41,1298.233808573
DSC_0502_RAB377d,46,1325.298366409
DSC_0502_RAB377d,51,1329.517624336
DSC_0502_RAB377d,56,1314.571515072
DSC_0502_RAB377d,61,1285.001493152
DSC_0502_RAB377d,66,1245.421921804
DSC_0502_RAB377d,71,1199.947445201
DSC_0502_RAB377d,76,1151.880363884
DSC_0502_RAB377d,81,1103.615495118
DSC_0502_RAB377d,86,1056.699524061
DSC_0502_RAB377d,91,1011.980549569
DSC_0502_RAB377d,96,969.795618176
DSC_0502_RAB377d,101,930.152727492
DSC_0502_RAB377d,106,892.882162642
DSC_0502_RAB377d,111,857.745567319
DSC_0502_RAB377d,116,824.504085538
DSC_0504_RAB378d,1,418.407707636
DSC_0504_RAB378d,6,852.781626444
DSC_0504_RAB378d,11,721.070033334
DSC_0504_RAB378d,16,722.261945541
DSC_0504_RAB378d,21,769.268904404
DSC_0504_RAB378d,26,810.619539633
DSC_0504_RAB378d,31,840.258803876
DSC_0504_RAB378d,36,851.076397975
DSC_0504_RAB378d,41,838.783102925
DSC_0504_RAB378d,46,805.920999281
DSC_0504_RAB378d,51,758.979851510
DSC_0504_RAB378d,56,704.869278406
DSC_0504_RAB378d,61,649.119814001
DSC_0504_RAB378d,66,595.452412938
DSC_0504_RAB378d,71,546.008277059
DSC_0504_RAB378d,76,501.776614876
