Label,pattern_size,pattern_energy
DSC_0402_RAB249d,1,268.181761882
DSC_0402_RAB249d,6,1013.213019476
DSC_0402_RAB249d,11,954.073421046
DSC_0402_RAB249d,16,868.103826053
DSC_0402_RAB249d,21,877.140861231
DSC_0402_RAB249d,26,927.562954740
DSC_0402_RAB249d,31,985.085062466
DSC_0402_RAB249d,36,1038.197708298
DSC_0402_RAB249d,41,1081.145023555
DSC_0402_RAB249d,46,1109.748084033
DSC_0402_RAB249d,51,1121.629793307
DSC_0402_RAB249d,56,1116.733869950
DSC_0402_RAB249d,61,1097.116674329
DSC_0402_RAB249d,66,1066.186522680
DSC_0402_RAB249d,71,1027.824566605
DSC_0402_RAB249d,76,985.676283039
DSC_0402_RAB249d,81,942.714309946
DSC_0402_RAB249d,86,901.059190521
DSC_0402_RAB249d,91,861.994309998
DSC_0402_RAB249d,96,826.101613126
DSC_0402_RAB249d,101,793.450217567
DSC_0402_RAB249d,106,763.787655033
DSC_0402_RAB249d,111,736.701344822
DSC_0402_RAB249d,116,711.737028805
DSC_0486_RAB366d,1,341.240346857
DSC_0486_RAB366d,6,1013.182918125
DSC_0486_RAB366d,11,917.573313618
DSC_0486_RAB366d,16,858.339661594
DSC_0486_RAB366d,21,895.827494873
DSC_0486_RAB366d,26,953.132170471
DSC_0486_RAB366d,31,1005.501850119
DSC_0486_RAB366d,36,1049.741248189
DSC_0486_RAB366d,41,1083.135708240
DSC_0486_RAB366d,46,1101.158173648
DSC_0486_RAB366d,51,1100.756154634
DSC_0486_RAB366d,56,1082.297049478
DSC_0486_RAB366d,61,1049.106335243
DSC_0486_RAB366d,66,1006.005890928
DSC_0486_RAB366d,71,957.958395044
DSC_0486_RAB366d,76,909.177505017
DSC_0486_RAB366d,81,862.695021677
DSC_0486_RAB366d,86,820.281092743
DSC_0486_RAB366d,91,782.603514928
DSC_0486_RAB366d,96,749.520192283
DSC_0486_RAB366d,101,720.405963328
DSC_0486_RAB366d,106,694.440472634
DSC_0486_RAB366d,111,670.815291751
DSC_0486_RAB366d,116,648.853572353
DSC_0502_RAB377d,1,365.920916649
DSC_0502_RAB377d,6,888.534307442
DSC_0502_RAB377d,11,834.523269751
DSC_0502_RAB377d,16,913.940387806
DSC_0502_RAB377d,21,1060.294696639
DSC_0502_RAB377d,26,1202.303442919
DSC_0502_RAB377d,31,1324.759312591
DSC_0502_RAB377d,36,1421.206725476
DSC_0502_RAB377d,41,1488.594167617
DSC_0502_RAB377d,46,1527.019199576
DSC_0502_RAB377d,51,1539.197542183
DSC_0502_RAB377d,56,1529.501471491
DSC_0502_RAB377d,61,1502.972767863
DSC_0502_RAB377d,66,1464.541714570
DSC_0502_RAB377d,71,1418.515788738
DSC_0502_RAB377d,76,1368.317025659
DSC_0502_RAB377d,81,1316.418389132
DSC_0502_RAB377d,86,1264.423997497
DSC_0502_RAB377d,91,1213.236000301
DSC_0502_RAB377d,96,1163.256587814
DSC_0502_RAB377d,101,1114.580743367
DSC_0502_RAB377d,106,1067.152777518
DSC_0502_RAB377d,111,1020.875361339
DSC_0502_RAB377d,116,975.673432557
DSC_0504_RAB378d,1,446.075164445
DSC_0504_RAB378d,6,997.926843697
DSC_0504_RAB378d,11,832.192983918
DSC_0504_RAB378d,16,839.961319550
DSC_0504_RAB378d,21,912.912437175
DSC_0504_RAB378d,26,974.940898038
DSC_0504_RAB378d,31,1017.481635847
DSC_0504_RAB378d,36,1036.531440634
DSC_0504_RAB378d,41,1031.099321193
DSC_0504_RAB378d,46,1005.351259236
DSC_0504_RAB378d,51,965.965891007
DSC_0504_RAB378d,56,919.152954491
DSC_0504_RAB378d,61,869.321870955
DSC_0504_RAB378d,66,819.062166483
DSC_0504_RAB378d,71,769.686485855
DSC_0504_RAB378d,76,721.819588599
DSC_0504_RAB378d,81,675.811539606
DSC_0504_RAB378d,86,631.949104169
DSC_0504_RAB378d,91,590.521204413
DSC_0504_RAB378d,96,551.807273403
DSC_0504_RAB378d,101,516.038485936
DSC_0504_RAB378d,106,483.362052041
DSC_0504_RAB378d,111,453.821428016
DSC_0504_RAB378d,116,427.355018600
DSC_0545_RAB419v,1,485.310060742
DSC_0545_RAB419v,6,1645.693512060
DSC_0545_RAB419v,11,1586.222465341
DSC_0545_RAB419v,16,1380.110292740
DSC_0545_RAB419v,21,1403.132597404
DSC_0545_RAB419v,26,1439.915725918
DSC_0545_RAB419v,31,1422.232246070
DSC_0545_RAB419v,36,1358.920828093
DSC_0545_RAB419v,41,1270.516955257
DSC_0545_RAB419v,46,1172.860272056
DSC_0545_RAB419v,51,1075.594389352
DSC_0545_RAB419v,56,983.925143449
DSC_0545_RAB419v,61,900.350968247
DSC_0545_RAB419v,66,825.803887033
DSC_0545_RAB419v,71,760.313238996
DSC_0545_RAB419v,76,703.385476479
DSC_0545_RAB419v,81,654.239311022
DSC_0545_RAB419v,86,611.967695648
DSC_0545_RAB419v,91,575.653424967
DSC_0545_RAB419v,96,544.445081183
DSC_0545_RAB419v,101,517.595918109
DSC_0545_RAB419v,106,494.474082951
DSC_0545_RAB419v,111,474.552809394
DSC_0545_RAB419v,116,457.391577719
DSC_0550_RAB419d,1,213.062761642
DSC_0550_RAB419d,6,561.367822290
DSC_0550_RAB419d,11,532.678708604
DSC_0550_RAB419d,16,609.549746684
DSC_0550_RAB419d,21,709.775312926
