Label,pattern_size,pattern_energy
DSC_0402_RAB249d,1,354.131906525
DSC_0402_RAB249d,6,1478.679036223
DSC_0402_RAB249d,11,1558.353422566
DSC_0402_RAB249d,16,1562.279400286
DSC_0402_RAB249d,21,1696.391192874
DSC_0402_RAB249d,26,1885.732628343
DSC_0402_RAB249d,31,2081.462163765
DSC_0402_RAB249d,36,2264.075379169
DSC_0402_RAB249d,41,2423.640288851
DSC_0402_RAB249d,46,2554.388744916
DSC_0402_RAB249d,51,2653.552615969
DSC_0402_RAB249d,56,2721.133575216
DSC_0402_RAB249d,61,2759.451234182
DSC_0402_RAB249d,66,2772.320855265
DSC_0402_RAB249d,71,2764.162616956
DSC_0402_RAB249d,76,2739.314615514
DSC_0402_RAB249d,81,2701.637494503
DSC_0402_RAB249d,86,2654.367215190
DSC_0402_RAB249d,91,2600.121699735
DSC_0402_RAB249d,96,2540.981545230
DSC_0402_RAB249d,101,2478.587739967
DSC_0402_RAB249d,106,2414.234171424
DSC_0402_RAB249d,111,2348.944241008
DSC_0402_RAB249d,116,2283.532338292
DSC_0486_RAB366d,1,443.938149630
DSC_0486_RAB366d,6,1635.441625312
DSC_0486_RAB366d,11,1486.241901909
DSC_0486_RAB366d,16,1371.465872553
DSC_0486_RAB366d,21,1493.084692491
DSC_0486_RAB366d,26,1648.084353000
DSC_0486_RAB366d,31,1783.809472179
DSC_0486_RAB366d,36,1896.327014611
DSC_0486_RAB366d,41,1985.639853129
DSC_0486_RAB366d,46,2049.859774989
DSC_0486_RAB366d,51,2087.877169950
DSC_0486_RAB366d,56,2101.586248183
DSC_0486_RAB366d,61,2095.671285108
DSC_0486_RAB366d,66,2076.073043338
DSC_0486_RAB366d,71,2048.424347561
DSC_0486_RAB366d,76,2017.051760845
DSC_0486_RAB366d,81,1984.627463722
DSC_0486_RAB366d,86,1952.316348319
DSC_0486_RAB366d,91,1920.191724782
DSC_0486_RAB366d,96,1887.715757344
DSC_0486_RAB366d,101,1854.146110500
DSC_0486_RAB366d,106,1818.814439321
DSC_0486_RAB366d,111,1781.274319563
DSC_0486_RAB366d,116,1741.349806392
DSC_0502_RAB377d,1,442.835835079
DSC_0502_RAB377d,6,1248.990890532
DSC_0502_RAB377d,11,1233.457848995
DSC_0502_RAB377d,16,1387.744632207
DSC_0502_RAB377d,21,1661.845985962
DSC_0502_RAB377d,26,1931.149002602
DSC_0502_RAB377d,31,2163.981768830
DSC_0502_RAB377d,36,2349.411426031
DSC_0502_RAB377d,41,2485.528079572
DSC_0502_RAB377d,46,2575.064625618
DSC_0502_RAB377d,51,2623.611095272
DSC_0502_RAB377d,56,2638.444861728
DSC_0502_RAB377d,61,2627.372558089
DSC_0502_RAB377d,66,2597.720349658
DSC_0502_RAB377d,71,2555.636626875
DSC_0502_RAB377d,76,2505.753853006
DSC_0502_RAB377d,81,2451.172643874
