Label,pattern_size,pattern_energy
DSC_0402_RAB249d,1,286.520439677
DSC_0402_RAB249d,6,996.007601634
DSC_0402_RAB249d,11,901.781964240
DSC_0402_RAB249d,16,819.091891110
DSC_0402_RAB249d,21,839.836768838
DSC_0402_RAB249d,26,902.400970740
DSC_0402_RAB249d,31,969.719105347
DSC_0402_RAB249d,36,1029.102877752
DSC_0402_RAB249d,41,1074.490860785
DSC_0402_RAB249d,46,1101.665055131
DSC_0402_RAB249d,51,1108.460653619
DSC_0402_RAB249d,56,1095.308519177
DSC_0402_RAB249d,61,1064.949109937
DSC_0402_RAB249d,66,1021.588595324
DSC_0402_RAB249d,71,969.969742672
DSC_0402_RAB249d,76,914.625830078
DSC_0402_RAB249d,81,859.394494251
DSC_0402_RAB249d,86,807.172463079
DSC_0402_RAB249d,91,759.858121857
DSC_0402_RAB249d,96,718.429063419
DSC_0402_RAB249d,101,683.105542917
DSC_0402_RAB249d,106,653.558025760
DSC_0402_RAB249d,111,629.119138753
DSC_0402_RAB249d,116,608.969364976
DSC_0486_RAB366d,1,352.484411742
DSC_0486_RAB366d,6,959.440128228
DSC_0486_RAB366d,11,833.019129778
DSC_0486_RAB366d,16,770.519331454
DSC_0486_RAB366d,21,812.745745117
DSC_0486_RAB366d,26,875.483217707
DSC_0486_RAB366d,31,931.293029640
DSC_0486_RAB366d,36,975.681087651
DSC_0486_RAB366d,41,1005.256953539
DSC_0486_RAB366d,46,1015.909643635
DSC_0486_RAB366d,51,1005.642561408
DSC_0486_RAB366d,56,975.904342575
DSC_0486_RAB366d,61,930.862722507
DSC_0486_RAB366d,66,875.957734985
DSC_0486_RAB366d,71,816.657243684
DSC_0486_RAB366d,76,757.665470294
DSC_0486_RAB366d,81,702.529674026
DSC_0486_RAB366d,86,653.532429321
DSC_0486_RAB366d,91,611.774715769
DSC_0486_RAB366d,96,577.385377164
DSC_0486_RAB366d,101,549.799611798
DSC_0486_RAB366d,106,528.052557514
DSC_0486_RAB366d,111,511.035517036
DSC_0486_RAB366d,116,497.680912925
DSC_0502_RAB377d,1,353.906458892
DSC_0502_RAB377d,6,838.644006012
DSC_0502_RAB377d,11,759.372912593
DSC_0502_RAB377d,16,814.464446870
DSC_0502_RAB377d,21,937.905597549
DSC_0502_RAB377d,26,1056.053590751
DSC_0502_RAB377d,31,1156.283738035
DSC_0502_RAB377d,36,1234.583479823
DSC_0502_RAB377d,41,1288.279908599
DSC_0502_RAB377d,46,1316.881336031
DSC_0502_RAB377d,51,1322.410143632
DSC_0502_RAB377d,56,1308.667666766
DSC_0502_RAB377d,61,1280.249506537
DSC_0502_RAB377d,66,1241.740035201
DSC_0502_RAB377d,71,1197.187670625
DSC_0502_RAB377d,76,1149.834646403
DSC_0502_RAB377d,81,1102.042344290
DSC_0502_RAB377d,86,1055.353831642
DSC_0502_RAB377d,91,1010.638342598
DSC_0502_RAB377d,96,968.271024140
DSC_0502_RAB377d,101,928.307524600
DSC_0502_RAB377d,106,890.629240676
DSC_0502_RAB377d,111,855.047775609
DSC_0502_RAB377d,116,821.369647079
DSC_0504_RAB378d,1,420.706039015
DSC_0504_RAB378d,6,850.757014559
DSC_0504_RAB378d,11,716.623886787
DSC_0504_RAB378d,16,711.901496997
DSC_0504_RAB378d,21,753.558755784
DSC_0504_RAB378d,26,792.970013689
DSC_0504_RAB378d,31,823.511476396
DSC_0504_RAB378d,36,836.527550301
DSC_0504_RAB378d,41,826.813709442
DSC_0504_RAB378d,46,796.589083232
DSC_0504_RAB378d,51,752.200963551
DSC_0504_RAB378d,56,700.423202284
DSC_0504_RAB378d,61,646.654564714
DSC_0504_RAB378d,66,594.528912320
DSC_0504_RAB378d,71,546.170619734
DSC_0504_RAB378d,76,502.619646234
DSC_0504_RAB378d,81,464.212068672
DSC_0504_RAB378d,86,430.857577004
DSC_0504_RAB378d,91,402.222823197
DSC_0504_RAB378d,96,377.847956403
DSC_0504_RAB378d,101,357.219446200
DSC_0504_RAB378d,106,339.816463985
DSC_0504_RAB378d,111,325.140655532
DSC_0504_RAB378d,116,312.735347220
DSC_0545_RAB419v,1,450.872146711
DSC_0545_RAB419v,6,1472.534270356
DSC_0545_RAB419v,11,1398.086301509
DSC_0545_RAB419v,16,1249.006861179
DSC_0545_RAB419v,21,1323.575065464
DSC_0545_RAB419v,26,1396.741127085
DSC_0545_RAB419v,31,1407.400592914
DSC_0545_RAB419v,36,1364.677069718
DSC_0545_RAB419v,41,1289.297472093
DSC_0545_RAB419v,46,1198.359306797
DSC_0545_RAB419v,51,1103.078964804
DSC_0545_RAB419v,56,1010.074367767
DSC_0545_RAB419v,61,922.962827535
DSC_0545_RAB419v,66,843.506281851
DSC_0545_RAB419v,71,772.317930619
DSC_0545_RAB419v,76,709.293027740
DSC_0545_RAB419v,81,653.891718933
DSC_0545_RAB419v,86,605.343753135
DSC_0545_RAB419v,91,562.799442282
DSC_0545_RAB419v,96,525.435359418
DSC_0545_RAB419v,101,492.515716405
DSC_0545_RAB419v,106,463.418253078
DSC_0545_RAB419v,111,437.633817259
DSC_0545_RAB419v,116,414.751384631
DSC_0550_RAB419d,1,166.970439479
DSC_0550_RAB419d,6,429.714755199
DSC_0550_RAB419d,11,410.313747659
DSC_0550_RAB419d,16,452.580182685
DSC_0550_RAB419d,21,516.160813334
DSC_0550_RAB419d,26,581.753415777
DSC_0550_RAB419d,31,638.021379334
DSC_0550_RAB419d,36,676.313828164
DSC_0550_RAB419d,41,695.212828975
DSC_0550_RAB419d,46,698.440251553
DSC_0550_RAB419d,51,691.117122803
DSC_0550_RAB419d,56,677.716487502
DSC_0550_RAB419d,61,661.451992433
DSC_0550_RAB419d,66,644.331934673
DSC_0550_RAB419d,71,627.434995262
DSC_0550_RAB419d,76,611.216212301
DSC_0550_RAB419d,81,595.766702123
DSC_0550_RAB419d,86,581.002991197
DSC_0550_RAB419d,91,566.786476767
DSC_0550_RAB419d,96,552.987585344
DSC_0550_RAB419d,101,539.511624078
DSC_0550_RAB419d,106,526.303183847
DSC_0550_RAB419d,111,513.339832458
DSC_0550_RAB419d,116,500.622770870
DSC_0554_RAB421v,1,267.165101183
DSC_0554_RAB421v,6,832.012249348
DSC_0554_RAB421v,11,747.398901120
DSC_0554_RAB421v,16,788.108794864
DSC_0554_RAB421v,21,895.419657687
DSC_0554_RAB421v,26,1012.974465735
DSC_0554_RAB421v,31,1101.303543913
DSC_0554_RAB421v,36,1146.237097747
DSC_0554_RAB421v,41,1147.384044607
DSC_0554_RAB421v,46,1111.089812801
DSC_0554_RAB421v,51,1047.339995186
DSC_0554_RAB421v,56,967.232178696
DSC_0554_RAB421v,61,880.914251684
DSC_0554_RAB421v,66,796.391444401
DSC_0554_RAB421v,71,719.159220187
DSC_0554_RAB421v,76,652.362831237
DSC_0554_RAB421v,81,597.200261357
DSC_0554_RAB421v,86,553.403114803
DSC_0554_RAB421v,91,519.724033809
DSC_0554_RAB421v,96,494.393715306
DSC_0554_RAB421v,101,475.504885758
DSC_0554_RAB421v,106,461.285837863
DSC_0554_RAB421v,111,450.250427523
DSC_0554_RAB421v,116,441.245292009
DSC_0604_RAB471d,1,327.426250484
DSC_0604_RAB471d,6,702.257814930
DSC_0604_RAB471d,11,607.804772648
DSC_0604_RAB471d,16,611.033105070
DSC_0604_RAB471d,21,636.148134174
DSC_0604_RAB471d,26,666.685959386
DSC_0604_RAB471d,31,698.292768070
DSC_0604_RAB471d,36,727.435192097
DSC_0604_RAB471d,41,751.826590569
DSC_0604_RAB471d,46,770.658437138
DSC_0604_RAB471d,51,783.996259534
DSC_0604_RAB471d,56,792.238641680
DSC_0604_RAB471d,61,795.875315349
DSC_0604_RAB471d,66,795.421972046
DSC_0604_RAB471d,71,791.404915260
DSC_0604_RAB471d,76,784.342964042
DSC_0604_RAB471d,81,774.722248513
DSC_0604_RAB471d,86,762.974712098
DSC_0604_RAB471d,91,749.466912964
DSC_0604_RAB471d,96,734.501631570
DSC_0604_RAB471d,101,718.327586101
DSC_0604_RAB471d,106,701.153994901
DSC_0604_RAB471d,111,683.165010297
DSC_0604_RAB471d,116,664.531161618
DSC_0608_RAB471v,1,293.442697189
DSC_0608_RAB471v,6,896.862227931
DSC_0608_RAB471v,11,994.475504327
DSC_0608_RAB471v,16,989.260213409
DSC_0608_RAB471v,21,1001.151524550
DSC_0608_RAB471v,26,1049.189183376
DSC_0608_RAB471v,31,1089.868096969
DSC_0608_RAB471v,36,1094.884951207
DSC_0608_RAB471v,41,1065.317561946
DSC_0608_RAB471v,46,1012.921812766
DSC_0608_RAB471v,51,948.948911336
DSC_0608_RAB471v,56,881.311404372
DSC_0608_RAB471v,61,814.797445182
DSC_0608_RAB471v,66,751.930322509
DSC_0608_RAB471v,71,693.799213601
DSC_0608_RAB471v,76,640.702573228
DSC_0608_RAB471v,81,592.574680107
DSC_0608_RAB471v,86,549.221664761
DSC_0608_RAB471v,91,510.421061496
DSC_0608_RAB471v,96,475.945275219
DSC_0608_RAB471v,101,445.552437232
DSC_0608_RAB471v,106,418.972705648
DSC_0608_RAB471v,111,395.900409324
DSC_0608_RAB471v,116,375.997074953
DSC_0931_RAB567v,1,111.775461349
DSC_0931_RAB567v,6,433.170986758
DSC_0931_RAB567v,11,610.871991308
DSC_0931_RAB567v,16,723.165176542
DSC_0931_RAB567v,21,799.406192675
DSC_0931_RAB567v,26,854.401376737
DSC_0931_RAB567v,31,894.505619017
DSC_0931_RAB567v,36,920.795701364
DSC_0931_RAB567v,41,935.598114918
DSC_0931_RAB567v,46,944.265488876
DSC_0931_RAB567v,51,953.234943528
DSC_0931_RAB567v,56,967.610356607
DSC_0931_RAB567v,61,989.936294217
DSC_0931_RAB567v,66,1020.335157246
DSC_0931_RAB567v,71,1057.411416276
DSC_0931_RAB567v,76,1099.212831660
DSC_0931_RAB567v,81,1143.859346498
DSC_0931_RAB567v,86,1189.803408289
DSC_0931_RAB567v,91,1235.854510610
DSC_0931_RAB567v,96,1281.107691856
DSC_0931_RAB567v,101,1324.855790892
DSC_0931_RAB567v,106,1366.522882327
DSC_0931_RAB567v,111,1405.621614182
DSC_0931_RAB567v,116,1441.731429957
DSC_0935_RAB567d,1,39.380971141
DSC_0935_RAB567d,6,214.865604416
DSC_0935_RAB567d,11,264.019870324
DSC_0935_RAB567d,16,270.090565307
DSC_0935_RAB567d,21,261.644076789
DSC_0935_RAB567d,26,249.882046949
DSC_0935_RAB567d,31,239.033925818
DSC_0935_RAB567d,36,229.849078828
DSC_0935_RAB567d,41,222.752754382
DSC_0935_RAB567d,46,218.332208137
DSC_0935_RAB567d,51,216.796741728
DSC_0935_RAB567d,56,217.831377775
DSC_0935_RAB567d,61,220.854622922
DSC_0935_RAB567d,66,225.296818076
DSC_0935_RAB567d,71,230.722881271
DSC_0935_RAB567d,76,236.831767443
DSC_0935_RAB567d,81,243.412366958
DSC_0935_RAB567d,86,250.303043277
DSC_0935_RAB567d,91,257.367404325
DSC_0935_RAB567d,96,264.483948775
DSC_0935_RAB567d,101,271.542932801
DSC_0935_RAB567d,106,278.446646455
DSC_0935_RAB567d,111,285.109980610
DSC_0935_RAB567d,116,291.460596949
DSC_1018_RAB659d,1,131.729441427
DSC_1018_RAB659d,6,602.433608588
DSC_1018_RAB659d,11,599.523174332
DSC_1018_RAB659d,16,564.609120308
DSC_1018_RAB659d,21,534.189811954
DSC_1018_RAB659d,26,504.137218546
DSC_1018_RAB659d,31,475.243257351
DSC_1018_RAB659d,36,449.550747327
DSC_1018_RAB659d,41,427.836569679
DSC_1018_RAB659d,46,410.118106543
DSC_1018_RAB659d,51,395.788521285
DSC_1018_RAB659d,56,383.787405120
DSC_1018_RAB659d,61,372.948637394
DSC_1018_RAB659d,66,362.269895724
DSC_1018_RAB659d,71,351.031229002
DSC_1018_RAB659d,76,338.818471559
DSC_1018_RAB659d,81,325.497528760
DSC_1018_RAB659d,86,311.160649693
DSC_1018_RAB659d,91,296.059046248
DSC_1018_RAB659d,96,280.535712667
DSC_1018_RAB659d,101,264.967597468
DSC_1018_RAB659d,106,249.721674041
DSC_1018_RAB659d,111,235.124897802
DSC_1018_RAB659d,116,221.446312490
DSC_1021_RAB659v,1,107.188576755
DSC_1021_RAB659v,6,450.234947359
DSC_1021_RAB659v,11,626.945122478
DSC_1021_RAB659v,16,773.927760027
DSC_1021_RAB659v,21,895.893709325
DSC_1021_RAB659v,26,988.239042434
DSC_1021_RAB659v,31,1063.118259088
DSC_1021_RAB659v,36,1131.067170720
DSC_1021_RAB659v,41,1192.564331121
DSC_1021_RAB659v,46,1243.994203372
DSC_1021_RAB659v,51,1282.717815737
DSC_1021_RAB659v,56,1308.067315620
DSC_1021_RAB659v,61,1320.601153237
DSC_1021_RAB659v,66,1321.342011841
DSC_1021_RAB659v,71,1311.427000991
DSC_1021_RAB659v,76,1292.045296712
DSC_1021_RAB659v,81,1264.469103338
DSC_1021_RAB659v,86,1230.066939702
DSC_1021_RAB659v,91,1190.272986327
DSC_1021_RAB659v,96,1146.528973669
DSC_1021_RAB659v,101,1100.221389683
DSC_1021_RAB659v,106,1052.630995064
DSC_1021_RAB659v,111,1004.898512806
DSC_1021_RAB659v,116,958.006142703
DSC_1023_RAB663d,1,97.475981306
DSC_1023_RAB663d,6,306.884536571
DSC_1023_RAB663d,11,283.621677590
DSC_1023_RAB663d,16,314.657693700
DSC_1023_RAB663d,21,354.764282357
DSC_1023_RAB663d,26,388.970291562
DSC_1023_RAB663d,31,413.981587394
DSC_1023_RAB663d,36,428.240196493
DSC_1023_RAB663d,41,432.313593885
DSC_1023_RAB663d,46,428.236784912
DSC_1023_RAB663d,51,418.341066257
DSC_1023_RAB663d,56,404.655336521
DSC_1023_RAB663d,61,388.771333820
DSC_1023_RAB663d,66,371.877033231
DSC_1023_RAB663d,71,354.820987943
DSC_1023_RAB663d,76,338.175224389
DSC_1023_RAB663d,81,322.295274429
DSC_1023_RAB663d,86,307.377481871
DSC_1023_RAB663d,91,293.509794200
DSC_1023_RAB663d,96,280.712646115
DSC_1023_RAB663d,101,268.967637878
DSC_1023_RAB663d,106,258.235666880
DSC_1023_RAB663d,111,248.466693153
DSC_1023_RAB663d,116,239.604451646
DSC_1024_RAB663v,1,307.797634745
DSC_1024_RAB663v,6,991.535040767
DSC_1024_RAB663v,11,1176.475727312
DSC_1024_RAB663v,16,1327.526781297
DSC_1024_RAB663v,21,1470.821401252
DSC_1024_RAB663v,26,1577.762111350
DSC_1024_RAB663v,31,1604.418416920
DSC_1024_RAB663v,36,1546.426841696
DSC_1024_RAB663v,41,1426.377894409
DSC_1024_RAB663v,46,1273.729759836
DSC_1024_RAB663v,51,1114.049304981
DSC_1024_RAB663v,56,965.268273139
DSC_1024_RAB663v,61,837.478284289
DSC_1024_RAB663v,66,734.201547844
DSC_1024_RAB663v,71,654.213183776
DSC_1024_RAB663v,76,593.532480718
DSC_1024_RAB663v,81,547.257957906
DSC_1024_RAB663v,86,510.886901696
DSC_1024_RAB663v,91,480.951511839
DSC_1024_RAB663v,96,455.101312381
DSC_1024_RAB663v,101,431.897396771
DSC_1024_RAB663v,106,410.535180208
DSC_1024_RAB663v,111,390.605061681
DSC_1024_RAB663v,116,371.921630634
DSC_1029_RAB664d,1,104.066071613
DSC_1029_RAB664d,6,292.930407069
DSC_1029_RAB664d,11,393.757878378
DSC_1029_RAB664d,16,481.015348057
DSC_1029_RAB664d,21,530.025716423
DSC_1029_RAB664d,26,548.520007120
DSC_1029_RAB664d,31,546.342103959
DSC_1029_RAB664d,36,531.317314526
DSC_1029_RAB664d,41,509.184184486
DSC_1029_RAB664d,46,483.636650386
DSC_1029_RAB664d,51,456.692234929
DSC_1029_RAB664d,56,429.338063484
DSC_1029_RAB664d,61,402.095661368
DSC_1029_RAB664d,66,375.321253194
DSC_1029_RAB664d,71,349.302926307
DSC_1029_RAB664d,76,324.275607366
DSC_1029_RAB664d,81,300.423045343
DSC_1029_RAB664d,86,277.883821247
DSC_1029_RAB664d,91,256.759330611
DSC_1029_RAB664d,96,237.119818446
DSC_1029_RAB664d,101,219.007944572
DSC_1029_RAB664d,106,202.440664280
