Label,pattern_size,pattern_energy
DSC_0402_RAB249d,1,275.488978716
DSC_0402_RAB249d,6,1031.410178713
DSC_0402_RAB249d,11,956.066988179
DSC_0402_RAB249d,16,860.448650080
DSC_0402_RAB249d,21,867.638016672
DSC_0402_RAB249d,26,920.205416989
DSC_0402_RAB249d,31,981.345022172
DSC_0402_RAB249d,36,1038.065314707
DSC_0402_RAB249d,41,1083.990154919
DSC_0402_RAB249d,46,1114.818734312
DSC_0402_RAB249d,51,1128.343326277
DSC_0402_RAB249d,56,1124.750799533
DSC_0402_RAB249d,61,1106.250227948
DSC_0402_RAB249d,66,1076.274489967
DSC_0402_RAB249d,71,1038.650023041
DSC_0402_RAB249d,76,996.954085558
DSC_0402_RAB249d,81,954.121668947
DSC_0402_RAB249d,86,912.281344088
DSC_0402_RAB249d,91,872.764209819
DSC_0402_RAB249d,96,836.223195403
DSC_0402_RAB249d,101,802.803822820
DSC_0402_RAB249d,106,772.321628957
DSC_0402_RAB249d,111,744.415957818
DSC_0402_RAB249d,116,718.666091358
DSC_0486_RAB366d,1,359.626667771
DSC_0486_RAB366d,6,1052.342146329
DSC_0486_RAB366d,11,935.163094150
DSC_0486_RAB366d,16,852.042020090
DSC_0486_RAB366d,21,875.646173175
DSC_0486_RAB366d,26,928.668333117
DSC_0486_RAB366d,31,983.289007004
DSC_0486_RAB366d,36,1031.138924570
DSC_0486_RAB366d,41,1066.061943705
DSC_0486_RAB366d,46,1082.848285732
DSC_0486_RAB366d,51,1079.227844493
DSC_0486_RAB366d,56,1056.555982220
DSC_0486_RAB366d,61,1018.861604433
DSC_0486_RAB366d,66,971.369705492
DSC_0486_RAB366d,71,919.260522531
DSC_0486_RAB366d,76,866.875827811
DSC_0486_RAB366d,81,817.334872536
DSC_0486_RAB366d,86,772.468494253
DSC_0486_RAB366d,91,732.976328578
DSC_0486_RAB366d,96,698.715867835
DSC_0486_RAB366d,101,669.031472314
DSC_0486_RAB366d,106,643.050182704
DSC_0486_RAB366d,111,619.899139108
