Label,pattern_size,pattern_energy
DSC_0402_RAB249d,1,374.388126716
DSC_0402_RAB249d,6,1496.005129360
DSC_0402_RAB249d,11,1551.485046239
DSC_0402_RAB249d,16,1543.610113676
DSC_0402_RAB249d,21,1675.003240266
DSC_0402_RAB249d,26,1866.747565400
DSC_0402_RAB249d,31,2067.639399284
DSC_0402_RAB249d,36,2256.357389563
DSC_0402_RAB249d,41,2421.848846915
DSC_0402_RAB249d,46,2557.986209407
DSC_0402_RAB249d,51,2662.106745669
DSC_0402_RAB249d,56,2734.371690139
DSC_0402_RAB249d,61,2777.069992034
DSC_0402_RAB249d,66,2793.793029542
DSC_0402_RAB249d,71,2788.668172474
DSC_0402_RAB249d,76,2765.795501250
DSC_0402_RAB249d,81,2728.917106476
DSC_0402_RAB249d,86,2681.277574447
DSC_0402_RAB249d,91,2625.605112713
DSC_0402_RAB249d,96,2564.156625589
DSC_0402_RAB249d,101,2498.780934905
DSC_0402_RAB249d,106,2430.984802523
DSC_0402_RAB249d,111,2361.989719883
DSC_0402_RAB249d,116,2292.781579369
DSC_0486_RAB366d,1,473.508119561
DSC_0486_RAB366d,6,1687.761941677
DSC_0486_RAB366d,11,1501.591430871
DSC_0486_RAB366d,16,1349.892313376
DSC_0486_RAB366d,21,1449.108982678
DSC_0486_RAB366d,26,1593.115956750
DSC_0486_RAB366d,31,1729.124968826
DSC_0486_RAB366d,36,1847.704424025
DSC_0486_RAB366d,41,1943.189515926
DSC_0486_RAB366d,46,2011.238025842
DSC_0486_RAB366d,51,2050.666835520
DSC_0486_RAB366d,56,2064.091088346
DSC_0486_RAB366d,61,2056.869369784
DSC_0486_RAB366d,66,2035.382149256
DSC_0486_RAB366d,71,2005.530563192
DSC_0486_RAB366d,76,1971.823382426
DSC_0486_RAB366d,81,1937.075483619
DSC_0486_RAB366d,86,1902.570166290
DSC_0486_RAB366d,91,1868.476262929
DSC_0486_RAB366d,96,1834.327165939
DSC_0486_RAB366d,101,1799.426656108
DSC_0486_RAB366d,106,1763.128495916
DSC_0486_RAB366d,111,1724.986954378
DSC_0486_RAB366d,116,1684.808415397
DSC_0502_RAB377d,1,460.300727302
DSC_0502_RAB377d,6,1255.461303978
DSC_0502_RAB377d,11,1217.315816544
DSC_0502_RAB377d,16,1365.102445883
DSC_0502_RAB377d,21,1640.197344716
